trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,TESTER,0.0,1242,1555,994,763,1145,-0.1047,-0.1498,0.954,0.608,1.963,0.082
1,TESTER,22.0,1127,1157,376,345,1545,-0.1106,-0.1559,0.9552,-0.178,2.016,-0.086
1,TESTER,35.0,1231,969,566,1078,1279,-0.105,-0.155,0.9525,0.318,1.734,-0.048
1,TESTER,48.0,1423,1151,417,1068,1266,-0.1047,-0.1514,0.959,0.287,1.65,-0.04
1,TESTER,61.0,908,1622,1502,354,828,-0.0962,-0.156,0.9461,0.272,2.008,0.006
1,TESTER,74.0,1527,1109,1390,425,403,-0.0982,-0.1522,0.9513,0.371,1.764,-0.071
1,TESTER,87.0,859,1733,1188,1435,525,-0.0978,-0.1553,0.9558,0.425,1.772,-0.017
1,TESTER,100.0,1148,492,433,538,422,-0.1005,-0.1514,0.9529,0.661,1.978,0.029
1,TESTER,113.0,775,1693,1628,649,1497,-0.1076,-0.1484,0.9567,0.058,1.772,-0.048
1,TESTER,126.0,1622,673,714,1517,792,-0.1066,-0.152,0.9556,0.471,1.932,0.044
1,TESTER,139.0,1589,807,725,754,656,-0.1059,-0.1523,0.956,0.058,1.703,-0.002
1,TESTER,152.0,884,1674,1570,982,501,-0.1039,-0.1582,0.9528,0.28,1.749,-0.048
1,TESTER,165.0,1706,1455,417,721,1400,-0.0986,-0.1564,0.9519,0.494,1.749,0.029
1,TESTER,178.0,421,1160,1468,1563,631,-0.099,-0.156,0.9502,0.173,1.779,0.006
1,TESTER,191.0,1197,593,981,779,817,-0.0988,-0.1509,0.9518,0.661,1.825,-0.002
1,TESTER,204.0,1094,1378,371,1034,463,-0.0992,-0.1519,0.9506,0.326,1.825,-0.055
1,TESTER,217.0,1772,553,1503,440,562,-0.1005,-0.1511,0.9543,0.455,1.818,0.052
1,TESTER,230.0,1439,1509,663,1353,662,-0.1051,-0.1512,0.9556,0.203,1.825,-0.002
1,TESTER,243.0,509,1334,937,1147,366,-0.101,-0.1525,0.9527,0.348,1.863,-0.002
1,TESTER,256.0,784,1270,1329,345,1239,-0.1043,-0.1516,0.9536,0.265,1.718,-0.048
1,TESTER,269.0,1708,964,1556,1010,1580,-0.0982,-0.1542,0.9552,0.265,1.863,-0.04
1,TESTER,282.0,1725,999,660,1697,1539,-0.0981,-0.1541,0.9563,0.432,1.734,-0.032
1,TESTER,295.0,1762,612,1192,1765,325,-0.0987,-0.1534,0.9554,0.417,1.795,-0.032
1,TESTER,308.0,908,634,349,1000,593,-0.1025,-0.1514,0.951,0.31,1.833,0.006
1,TESTER,321.0,779,1195,1375,608,944,-0.1021,-0.153,0.9539,0.272,1.871,-0.04
1,TESTER,334.0,1271,411,1361,1086,1390,-0.1007,-0.1534,0.9552,0.417,1.825,-0.078
1,TESTER,347.0,1134,873,1089,967,879,-0.1009,-0.1527,0.9536,0.295,1.764,0.021
1,TESTER,360.0,1085,1205,1617,1191,1541,-0.1028,-0.153,0.9539,0.333,1.68,0.013
1,TESTER,373.0,1539,1614,1179,685,1567,-0.0998,-0.1533,0.9536,0.41,1.779,-0.025
1,TESTER,386.0,437,366,1279,328,314,-0.102,-0.1515,0.9501,0.28,1.825,-0.093
1,TESTER,399.0,321,821,1646,684,510,-0.102,-0.1533,0.9514,0.356,1.787,0.029
1,TESTER,412.0,1059,1339,1763,1379,774,-0.0973,-0.1542,0.9569,0.234,1.764,-0.017
1,TESTER,425.0,1075,1664,901,644,1029,-0.0981,-0.1544,0.9505,0.203,1.81,-0.04
1,TESTER,438.0,320,557,1279,1781,718,-0.0997,-0.1542,0.9502,0.28,1.863,-0.002
1,TESTER,451.0,1642,1585,1557,827,1610,-0.0992,-0.1549,0.9518,0.348,1.718,-0.002
1,TESTER,464.0,645,1207,883,745,1548,-0.0987,-0.1554,0.9567,0.356,1.818,-0.002
1,TESTER,477.0,1626,1443,335,1018,1216,-0.0998,-0.1504,0.9529,0.272,1.787,-0.086
1,TESTER,490.0,343,917,1796,1361,850,-0.1001,-0.1543,0.9514,0.333,1.825,-0.025
1,TESTER,503.0,1360,851,824,1276,1367,-0.1039,-0.1511,0.9536,0.265,1.703,-0.063
1,TESTER,516.0,1634,986,891,1234,1112,-0.1042,-0.1532,0.9525,0.31,1.894,0.006
1,TESTER,529.0,1699,1792,564,990,857,-0.1047,-0.1512,0.9524,0.318,1.833,0.013
1,TESTER,542.0,404,1632,439,1191,958,-0.1012,-0.15,0.954,0.356,1.741,0.036
1,TESTER,555.0,801,1287,1447,839,506,-0.1001,-0.1553,0.9544,0.326,1.802,0.013
1,TESTER,568.0,807,423,1157,1508,1410,-0.0999,-0.1539,0.9539,0.234,1.795,-0.063
1,TESTER,581.0,627,1727,1675,1579,539,-0.0998,-0.1522,0.9535,0.318,1.825,0.013
1,TESTER,594.0,1495,1208,904,1631,1468,-0.1004,-0.1516,0.9523,0.356,1.81,-0.002
1,TESTER,607.0,926,1662,1249,1011,1562,-0.1014,-0.1552,0.9556,0.333,1.81,-0.071
1,TESTER,620.0,586,1457,326,671,1303,-0.1011,-0.1537,0.9506,0.28,1.802,-0.017
1,TESTER,633.0,626,1432,582,1388,491,-0.1022,-0.1522,0.9535,0.249,1.787,-0.025
1,TESTER,646.0,1646,1596,326,1528,1772,-0.101,-0.1509,0.9566,0.257,1.848,-0.078
1,TESTER,659.0,985,430,1169,1486,653,-0.1003,-0.1506,0.9513,0.326,1.795,-0.009
1,TESTER,672.0,1740,1351,1762,1209,309,-0.1017,-0.1541,0.9532,0.272,1.787,-0.063
1,TESTER,685.0,584,984,1799,300,1439,-0.1017,-0.1533,0.9544,0.272,1.772,-0.078
1,TESTER,698.0,921,428,1561,380,1531,-0.1038,-0.1506,0.9536,0.234,1.787,-0.055
1,TESTER,711.0,492,1601,845,1200,861,-0.1006,-0.1549,0.9535,0.394,1.825,-0.025
1,TESTER,724.0,1261,1406,642,1629,1038,-0.0975,-0.1537,0.9529,0.287,1.764,-0.055
1,TESTER,737.0,777,403,961,947,1291,-0.0979,-0.1537,0.9535,0.326,1.673,-0.048
1,TESTER,750.0,1749,1676,856,528,1388,-0.1017,-0.153,0.9525,0.387,1.81,-0.025
1,TESTER,763.0,489,1507,1700,1518,1063,-0.1009,-0.1545,0.953,0.257,1.795,-0.017
1,TESTER,776.0,855,1084,911,1684,1330,-0.1039,-0.1511,0.9533,0.272,1.757,0.013
1,TESTER,789.0,1284,1562,849,994,499,-0.1027,-0.1514,0.9538,0.31,1.81,0.006
1,TESTER,802.0,1487,780,796,1375,432,-0.1031,-0.1553,0.9543,0.196,1.818,0.052
1,TESTER,815.0,1570,1295,1719,1062,1463,-0.0998,-0.1532,0.95,0.234,1.84,-0.002
