trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,UUUII,0.0,836,287,329,707,357,0.0595,-0.2373,0.9688,-0.392,0.573,0.418
1,UUUII,23.0,715,772,579,1014,1149,0.0671,-0.2358,0.9678,-0.453,0.734,0.075
1,UUUII,36.0,989,1192,474,929,554,0.0595,-0.2327,0.9629,-0.339,0.84,-0.2
1,UUUII,49.0,958,1248,292,964,1215,0.0625,-0.2307,0.9619,-0.293,0.856,-0.269
1,UUUII,62.0,842,1041,206,397,1180,0.0588,-0.2297,0.9622,-0.438,0.871,-0.284
1,UUUII,75.0,837,880,599,688,1185,0.0625,-0.2268,0.9639,-0.606,0.749,-0.33
1,UUUII,88.0,883,723,393,505,541,0.0634,-0.2241,0.971,-0.881,0.55,-0.277
1,UUUII,101.0,612,357,1259,1108,1021,0.0632,-0.2258,0.9634,-1.01,0.55,-0.025
1,UUUII,114.0,1049,1104,595,1258,1103,0.0666,-0.2241,0.9629,-1.125,0.451,0.006
1,UUUII,127.0,1136,1265,593,449,668,0.0656,-0.2224,0.9622,-1.148,0.421,0.044
1,UUUII,140.0,531,947,274,638,1284,0.0683,-0.2305,0.9661,-1.201,0.215,0.136
1,UUUII,153.0,492,333,587,322,547,0.0659,-0.23,0.9634,-1.033,0.321,0.212
1,UUUII,166.0,555,381,945,435,243,0.0676,-0.2344,0.9571,-0.72,0.306,0.212
1,UUUII,179.0,771,625,1162,473,329,0.0727,-0.2329,0.9629,-0.835,0.436,0.212
1,UUUII,192.0,1232,332,428,1135,727,0.0712,-0.2366,0.9619,-0.873,0.474,0.12
1,UUUII,205.0,1112,1262,1012,342,761,0.07,-0.2376,0.9627,-0.812,0.589,0.075
1,UUUII,218.0,1063,402,343,659,984,0.0637,-0.2419,0.9605,-0.766,0.84,-0.055
1,UUUII,231.0,508,344,599,601,693,0.0659,-0.2383,0.96,-0.85,0.802,-0.032
1,UUUII,244.0,305,384,894,517,411,0.0632,-0.2393,0.9585,-0.942,0.825,-0.109
1,UUUII,257.0,1118,878,1181,1107,1030,0.0625,-0.2434,0.9612,-0.873,0.657,-0.086
1,UUUII,270.0,701,241,300,1056,1290,0.0637,-0.2385,0.9661,-0.697,0.535,-0.162
1,UUUII,283.0,717,618,669,765,1209,0.0651,-0.2334,0.9656,-0.56,0.673,-0.231
1,UUUII,296.0,1045,647,597,626,282,0.0617,-0.2344,0.9656,-0.491,0.749,-0.162
1,UUUII,309.0,741,937,439,403,458,0.0598,-0.2317,0.9666,-0.453,0.703,-0.101
1,UUUII,322.0,362,679,1242,1017,474,0.061,-0.2302,0.9685,-0.575,0.673,0.075
1,UUUII,335.0,609,772,274,1159,861,0.06,-0.2285,0.9585,-0.514,0.589,0.181
1,UUUII,348.0,612,577,861,599,652,0.0639,-0.2283,0.9654,-0.613,0.611,0.136
1,UUUII,361.0,997,1266,1180,1142,968,0.0671,-0.2312,0.9617,-0.369,0.497,0.105
1,UUUII,374.0,704,673,240,1138,366,0.0598,-0.228,0.968,-0.308,0.543,0.151
1,UUUII,387.0,1208,380,1242,1034,1084,0.0644,-0.2275,0.961,-0.323,0.558,0.136
1,UUUII,400.0,962,1199,979,1079,965,0.0661,-0.2261,0.9712,-0.484,0.528,0.143
1,UUUII,413.0,321,564,686,1159,504,0.0627,-0.23,0.9661,-0.652,0.436,0.174
1,UUUII,426.0,602,346,538,440,382,0.0649,-0.2329,0.9676,-0.621,0.39,0.067
1,UUUII,439.0,349,308,551,1087,515,0.0676,-0.2336,0.9654,-0.552,0.436,0.052
1,UUUII,452.0,1009,1269,517,824,487,0.0595,-0.2285,0.9617,-0.3,0.436,-0.04
1,UUUII,465.0,828,1287,1181,358,1046,0.06,-0.2251,0.9632,-0.4,0.558,-0.025
1,UUUII,478.0,970,522,1196,983,935,0.0654,-0.2239,0.9595,-0.652,0.459,0.036
1,UUUII,491.0,1059,1252,732,957,898,0.0651,-0.2314,0.96,-0.72,0.268,0.097
1,UUUII,504.0,426,765,453,668,960,0.0671,-0.2258,0.9629,-0.644,0.329,0.021
1,UUUII,517.0,796,744,1050,1034,1153,0.0688,-0.2349,0.9629,-0.682,0.253,-0.017
1,UUUII,530.0,447,1107,953,562,928,0.0693,-0.2305,0.9634,-0.537,0.222,-0.124
1,UUUII,543.0,1274,876,234,1122,744,0.0725,-0.2278,0.959,-0.277,0.436,-0.025
1,UUUII,556.0,264,1260,250,659,924,0.0744,-0.2295,0.96,-0.598,0.474,-0.086
