Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1846,0.0366,0.0339,0.9795,0.509,1.749,-0.055
1858,0.0376,0.0349,0.9810,0.539,1.543,-0.071
1871,0.0324,0.0325,0.9810,0.845,1.680,0.036
1884,0.0388,0.0291,0.9825,0.829,1.963,-0.116
1897,0.0398,0.0281,0.9827,0.616,2.008,-0.177
1910,0.0400,0.0322,0.9790,0.608,1.833,0.021
1923,0.0376,0.0276,0.9715,0.707,1.879,0.120
1936,0.0366,0.0281,0.9815,0.852,1.825,0.075
1949,0.0393,0.0310,0.9825,0.707,1.932,-0.009
1962,0.0358,0.0320,0.9766,0.791,1.863,-0.177
1975,0.0380,0.0298,0.9768,0.661,1.802,-0.208
1988,0.0285,0.0339,0.9754,0.616,1.703,0.212
2001,0.0415,0.0298,0.9776,0.654,1.734,-0.040
2014,0.0422,0.0334,0.9827,0.616,1.726,-0.116
2027,0.0410,0.0312,0.9805,0.661,1.856,-0.254
2040,0.0385,0.0212,0.9781,0.700,1.741,-0.078
2053,0.0368,0.0266,0.9851,0.639,1.856,-0.009
2066,0.0424,0.0281,0.9822,0.669,1.840,0.067
2079,0.0395,0.0291,0.9810,0.791,1.848,-0.101
2092,0.0427,0.0322,0.9812,0.547,1.543,0.059
2105,0.0366,0.0305,0.9781,0.684,1.802,0.013
2118,0.0449,0.0286,0.9898,0.577,1.955,0.082
2131,0.0444,0.0295,0.9876,0.639,1.818,-0.109
2144,0.0275,0.0293,0.9861,0.562,1.673,-0.017
2157,0.0398,0.0295,0.9761,0.600,1.947,-0.002
2170,0.0332,0.0298,0.9827,0.600,1.489,0.006
2183,0.0410,0.0376,0.9839,0.913,1.932,-0.086
2196,0.0388,0.0330,0.9810,0.677,1.695,0.052
2209,0.0390,0.0320,0.9822,0.906,1.940,0.242
2222,0.0390,0.0325,0.9837,1.005,1.749,-0.147
2235,0.0361,0.0305,0.9776,0.608,1.825,0.159
2248,0.0361,0.0288,0.9795,0.715,1.787,-0.093
2261,0.0341,0.0276,0.9817,0.631,1.932,-0.139
2274,0.0446,0.0332,0.9756,0.600,1.871,-0.017
2287,0.0388,0.0276,0.9800,0.730,1.978,0.021
2300,0.0402,0.0303,0.9837,0.761,1.886,-0.147
2313,0.0388,0.0271,0.9822,0.570,1.734,0.021
2326,0.0388,0.0286,0.9861,0.532,1.818,-0.040
2339,0.0376,0.0317,0.9798,0.639,1.825,-0.032
2352,0.0380,0.0337,0.9805,0.539,1.665,-0.078
2365,0.0393,0.0308,0.9781,0.608,1.940,-0.009
2378,0.0327,0.0315,0.9915,0.478,1.634,-0.093
2391,0.0363,0.0352,0.9798,0.623,1.665,0.036
2404,0.0383,0.0293,0.9729,0.753,1.566,-0.071
2417,0.0349,0.0310,0.9781,0.791,1.779,0.220
2430,0.0324,0.0264,0.9795,0.577,1.818,0.013
2443,0.0432,0.0305,0.9820,0.677,1.833,0.059
2456,0.0446,0.0278,0.9829,0.669,1.871,-0.063
2469,0.0358,0.0332,0.9793,0.837,1.894,0.075
2482,0.0329,0.0291,0.9849,0.700,1.749,-0.063
2495,0.0385,0.0239,0.9690,0.677,1.657,-0.040
2508,0.0412,0.0271,0.9842,0.715,1.894,0.052
2521,0.0424,0.0264,0.9878,0.837,1.642,-0.078
2534,0.0327,0.0320,0.9856,0.570,1.680,-0.032
2547,0.0395,0.0259,0.9810,0.547,1.848,-0.124
2560,0.0400,0.0244,0.9781,0.593,1.764,-0.009
2573,0.0405,0.0325,0.9851,0.539,1.757,0.105
2586,0.0356,0.0271,0.9771,0.509,1.818,-0.017
2599,0.0373,0.0349,0.9898,0.593,1.726,-0.032
2612,0.0363,0.0320,0.9851,0.768,1.833,-0.093
2625,0.0376,0.0342,0.9793,1.081,1.772,-0.032
2638,0.0400,0.0305,0.9781,0.715,1.886,0.235
2651,0.0373,0.0325,0.9776,0.845,1.695,-0.009
2664,0.0371,0.0303,0.9834,0.799,1.489,0.029
2677,0.0356,0.0278,0.9793,0.852,1.902,-0.048
2690,0.0368,0.0244,0.9817,0.860,1.757,0.113
2703,0.0361,0.0330,0.9839,0.761,1.986,0.097
2716,0.0400,0.0344,0.9827,0.707,1.627,-0.055
2729,0.0358,0.0325,0.9827,0.723,1.589,-0.086
2742,0.0361,0.0293,0.9781,0.585,1.650,-0.147
2755,0.0393,0.0251,0.9805,0.501,1.718,-0.040
2768,0.0446,0.0312,0.9810,0.738,1.833,0.006
2781,0.0349,0.0310,0.9781,0.723,1.642,0.036
2794,0.0380,0.0310,0.9766,0.516,1.879,-0.063
2807,0.0402,0.0276,0.9798,0.906,1.688,-0.025
2820,0.0354,0.0334,0.9795,0.577,1.688,-0.063
2833,0.0395,0.0317,0.9793,0.616,1.886,0.013
