trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,asdf,0.0,404,1632,439,1191,958,-0.0739,-0.0002,0.9634,0.524,1.833,-0.009
1,asdf,22.0,801,1287,1447,839,506,-0.0751,-0.0035,0.9626,0.471,1.818,-0.032
1,asdf,35.0,807,423,1157,1508,1410,-0.0767,-0.0033,0.963,0.486,1.825,-0.002
1,asdf,48.0,627,1727,1675,1579,539,-0.0785,-0.002,0.965,0.616,1.741,0.097
1,asdf,61.0,1495,1208,904,1631,1468,-0.0804,-0.0024,0.9632,0.348,1.894,0.12
1,asdf,74.0,926,1662,1249,1011,1562,-0.0788,-0.0034,0.9648,0.463,1.772,0.212
1,asdf,87.0,586,1457,326,671,1303,-0.0795,-0.005,0.9591,0.608,1.802,0.128
1,asdf,100.0,626,1432,582,1388,491,-0.0798,-0.0027,0.9573,0.417,1.779,0.166
1,asdf,113.0,1646,1596,326,1528,1772,-0.0817,-0.0073,0.9585,0.577,1.673,0.029
1,asdf,126.0,985,430,1169,1486,653,-0.0793,-0.0059,0.9608,0.654,1.741,0.09
1,asdf,139.0,1740,1351,1762,1209,309,-0.0783,-0.0049,0.9616,0.639,1.764,-0.017
1,asdf,152.0,584,984,1799,300,1439,-0.0766,-0.0055,0.9608,0.829,1.772,-0.048
1,asdf,165.0,921,428,1561,380,1531,-0.0798,-0.005,0.9608,0.799,1.818,-0.055
1,asdf,178.0,492,1601,845,1200,861,-0.0812,-0.0005,0.9597,0.646,1.833,-0.132
1,asdf,191.0,1261,1406,642,1629,1038,-0.0805,-0.0009,0.9638,0.929,1.703,-0.132
1,asdf,204.0,777,403,961,947,1291,-0.0795,-0.0001,0.9616,0.852,1.688,-0.185
1,asdf,217.0,1749,1676,856,528,1388,-0.0763,0.0013,0.9633,0.623,1.787,-0.185
1,asdf,230.0,489,1507,1700,1518,1063,-0.0776,0.0017,0.9611,0.883,1.81,-0.147
1,asdf,243.0,855,1084,911,1684,1330,-0.0749,0.001,0.9646,0.57,1.619,-0.002
1,asdf,256.0,1284,1562,849,994,499,-0.0772,0.0018,0.9601,0.234,1.749,0.166
1,asdf,269.0,1487,780,796,1375,432,-0.0752,-0.0017,0.9601,0.341,1.741,0.288
1,asdf,282.0,1570,1295,1719,1062,1463,-0.0761,0.0011,0.9617,0.455,1.81,0.128
1,asdf,295.0,1621,803,1736,721,1576,-0.0744,-0.0033,0.9626,0.303,1.787,0.113
1,asdf,308.0,1404,832,708,378,1148,-0.0766,-0.0027,0.9605,0.219,1.787,0.128
1,asdf,321.0,565,1271,516,321,1572,-0.0783,-0.0035,0.961,0.501,1.65,0.013
1,asdf,334.0,1632,536,1235,588,1479,-0.0771,-0.0057,0.9606,0.394,1.726,-0.032
1,asdf,347.0,469,856,446,1079,1088,-0.0738,-0.0053,0.9607,0.417,1.779,-0.139
1,asdf,360.0,989,1584,721,940,530,-0.0788,-0.0045,0.964,0.455,1.726,-0.185
1,asdf,373.0,640,1607,749,1040,1077,-0.0777,-0.0045,0.9591,0.455,1.787,-0.193
1,asdf,386.0,1582,833,1685,1693,406,-0.0787,-0.0033,0.9624,0.348,1.749,-0.147
1,asdf,399.0,1020,1391,1243,997,1321,-0.078,-0.0012,0.9632,0.478,1.764,-0.093
1,asdf,412.0,638,653,1134,1062,1365,-0.0768,-0.0038,0.964,0.745,1.673,-0.048
1,asdf,425.0,1612,411,969,790,1310,-0.0791,-0.0046,0.9615,0.89,1.787,-0.078
1,asdf,438.0,1370,1764,1111,1729,375,-0.081,-0.0005,0.9583,0.646,1.795,-0.139
1,asdf,451.0,1053,852,703,923,1043,-0.0806,-0.0012,0.9615,0.471,1.673,-0.002
1,asdf,464.0,1420,1281,1746,1070,842,-0.0784,0.0001,0.9611,0.532,1.695,-0.025
1,asdf,477.0,1327,1588,1789,1719,1278,-0.08,-0.0004,0.9632,0.562,1.589,0.044
1,asdf,490.0,1092,1706,1573,1771,1733,-0.0773,-0.0021,0.9624,0.562,1.657,0.036
1,asdf,503.0,1149,1197,1142,1740,874,-0.0762,-0.001,0.9643,0.585,1.665,0.136
1,asdf,516.0,1482,889,1742,1554,1158,-0.0765,-0.0031,0.958,0.639,1.627,0.075
1,asdf,529.0,1743,1680,1595,373,1433,-0.0772,-0.0004,0.9607,0.547,1.734,0.166
1,asdf,542.0,674,826,1738,1004,577,-0.0783,-0.0056,0.9611,0.425,1.634,0.075
1,asdf,555.0,450,436,1311,746,1016,-0.0766,-0.0039,0.9632,0.524,1.741,0.006
1,asdf,568.0,1514,922,1799,764,642,-0.0795,-0.0066,0.9616,0.539,1.726,-0.002
1,asdf,581.0,374,1187,975,1330,1039,-0.0747,-0.0042,0.9604,0.608,1.726,-0.017
1,asdf,594.0,1048,1244,748,353,904,-0.0765,-0.0021,0.9634,0.768,1.825,-0.071
1,asdf,607.0,1328,1493,636,933,494,-0.0771,-0.0049,0.9632,0.654,1.734,-0.109
1,asdf,620.0,949,843,927,1139,427,-0.0805,-0.0023,0.9612,0.654,1.657,-0.147
1,asdf,633.0,1785,619,1008,630,659,-0.0778,-0.0007,0.961,0.654,1.795,-0.177
1,asdf,646.0,746,715,1044,1180,1283,-0.0784,-0.0011,0.9594,0.608,1.657,-0.109
1,asdf,659.0,306,570,916,507,1196,-0.0793,0.0015,0.9623,0.875,1.703,-0.101
1,asdf,672.0,414,1393,1531,886,1373,-0.0774,0.0023,0.9619,0.639,1.749,-0.139
1,asdf,685.0,1629,703,1546,1782,655,-0.0752,-0.0002,0.958,0.417,1.741,0.021
1,asdf,698.0,949,1556,401,1098,493,-0.0777,-0.0,0.9615,0.44,1.84,0.044
1,asdf,711.0,839,470,662,1769,1503,-0.0752,-0.0023,0.9621,0.303,1.734,0.044
1,asdf,724.0,1029,1088,1063,1499,813,-0.0752,-0.0032,0.9629,0.364,1.818,0.136
1,asdf,737.0,669,1129,1257,653,1360,-0.0766,-0.0049,0.9638,0.684,1.779,0.097
1,asdf,750.0,925,1411,653,1584,776,-0.0784,-0.0056,0.9621,0.715,1.68,0.136
1,asdf,763.0,427,1013,630,1514,1069,-0.0769,-0.0045,0.9616,0.524,1.657,0.09
1,asdf,776.0,1342,1785,1130,905,469,-0.0774,-0.0063,0.9602,0.524,1.863,0.036
1,asdf,789.0,424,847,1163,759,1550,-0.0804,-0.0013,0.9628,0.425,1.772,0.052
1,asdf,802.0,776,1718,1493,673,1320,-0.0812,-0.0046,0.9648,0.142,1.673,0.021
1,asdf,815.0,1235,559,1120,1473,791,-0.0805,-0.0057,0.9602,0.539,1.779,-0.017
1,asdf,828.0,1292,982,527,382,339,-0.0835,-0.0048,0.9578,0.845,1.596,-0.025
1,asdf,841.0,1480,355,418,1722,852,-0.0804,-0.0038,0.966,0.723,1.718,-0.147
1,asdf,854.0,757,1460,1191,1347,1688,-0.0782,-0.0024,0.9632,0.616,1.68,-0.246
1,asdf,867.0,1081,1207,822,364,549,-0.0768,-0.0043,0.9648,0.814,1.779,-0.185
1,asdf,880.0,984,1421,441,601,892,-0.0773,-0.0001,0.9601,1.005,1.741,-0.223
1,asdf,893.0,1363,1659,1427,1553,999,-0.078,-0.0002,0.9615,0.7,1.718,-0.216
1,asdf,906.0,1264,1295,1565,672,904,-0.0789,0.0001,0.9594,0.524,1.833,-0.154
1,asdf,919.0,1211,786,858,1094,852,-0.0799,0.0017,0.9634,0.547,1.764,-0.078
1,asdf,932.0,562,691,1746,863,376,-0.0752,-0.0032,0.963,0.555,1.734,-0.002
1,asdf,945.0,1230,1349,1040,1476,541,-0.0771,-0.004,0.9632,0.593,1.848,0.113
1,asdf,958.0,1581,693,879,1434,1243,-0.0787,-0.0021,0.9616,0.646,1.657,0.181
1,asdf,971.0,347,858,865,1005,691,-0.0789,-0.0031,0.9591,0.326,1.68,0.128
1,asdf,984.0,548,714,1131,622,368,-0.0784,-0.0042,0.9646,0.28,1.665,0.105
1,asdf,997.0,1716,746,1748,1632,708,-0.076,-0.0051,0.9643,0.432,1.81,0.113
1,asdf,1010.0,1679,876,499,1431,368,-0.0773,-0.0049,0.9612,0.516,1.856,0.052
1,asdf,1023.0,427,629,1137,742,436,-0.0772,-0.0011,0.9596,0.562,1.772,-0.04
1,asdf,1036.0,763,347,302,988,1322,-0.0767,-0.0011,0.9621,0.684,1.757,0.036
1,asdf,1049.0,303,652,1277,451,1438,-0.0768,-0.0035,0.96,0.661,1.726,0.052
1,asdf,1062.0,951,1024,1544,762,1527,-0.081,-0.0006,0.9593,0.654,1.604,0.09
1,asdf,1075.0,1601,418,1282,1132,520,-0.0784,-0.0062,0.9628,0.547,1.673,-0.055
1,asdf,1088.0,410,543,960,396,499,-0.0793,-0.0031,0.9587,0.906,1.749,-0.009
1,asdf,1101.0,1270,697,1419,1547,713,-0.0798,0.0029,0.9597,0.875,1.818,0.044
1,asdf,1114.0,1392,416,407,408,1283,-0.0767,-0.0013,0.9623,0.585,1.589,0.067
1,asdf,1127.0,1786,373,889,974,498,-0.0777,-0.0006,0.9634,1.104,1.779,0.113
1,asdf,1140.0,1377,1299,1644,1623,336,-0.0779,0.002,0.9599,0.822,1.65,0.006
1,asdf,1153.0,701,652,1498,1696,586,-0.0782,-0.0027,0.9602,0.692,1.978,0.059
1,asdf,1166.0,1283,301,1104,823,1724,-0.0818,0.0015,0.9587,0.555,1.535,0.067
1,asdf,1179.0,808,1600,436,942,478,-0.0785,-0.0037,0.9651,0.471,1.673,0.082
1,asdf,1192.0,1600,1322,387,835,1445,-0.0789,-0.001,0.9648,0.364,1.894,0.044
1,asdf,1205.0,762,1500,1089,1304,1091,-0.0762,-0.0035,0.9588,0.028,1.688,0.052
1,asdf,1218.0,1758,881,1019,1380,1107,-0.0756,-0.0067,0.9607,0.547,1.856,0.036
1,asdf,1231.0,1246,1664,1187,1595,575,-0.0776,-0.0042,0.9634,0.448,1.947,0.097
1,asdf,1244.0,1159,845,1106,471,398,-0.0805,-0.004,0.9608,0.952,1.825,0.044
1,asdf,1257.0,704,1495,739,1219,729,-0.0787,-0.0046,0.9606,1.119,1.825,-0.002
1,asdf,1270.0,1665,832,882,1784,572,-0.0815,-0.0037,0.9617,1.058,1.795,0.067
1,asdf,1283.0,1100,1296,661,1281,1387,-0.0776,-0.0032,0.9612,1.097,1.634,0.006
1,asdf,1296.0,829,936,1246,1035,1207,-0.0762,-0.0002,0.9616,0.913,1.665,0.044
1,asdf,1309.0,1750,952,1151,1501,363,-0.0768,0.0002,0.9627,0.997,1.688,-0.017
1,asdf,1322.0,1601,479,1109,1572,1297,-0.0743,0.0009,0.9618,0.807,1.772,-0.071
1,asdf,1335.0,1595,1779,698,1148,1518,-0.079,0.0032,0.9594,0.738,1.703,-0.2
1,asdf,1348.0,1251,1345,366,1187,818,-0.0767,0.0015,0.9589,0.119,1.764,-0.124
1,asdf,1361.0,1404,1189,1423,412,1154,-0.0766,-0.0006,0.9628,-0.018,1.84,0.006
1,asdf,1374.0,683,1591,1583,1530,1116,-0.0767,-0.0017,0.9667,0.303,1.833,0.044
1,asdf,1387.0,1217,834,472,1632,1014,-0.0754,-0.0012,0.9599,0.616,1.856,0.128
1,asdf,1400.0,1078,1211,696,1778,894,-0.0776,-0.004,0.9626,0.913,1.825,0.075
