trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,eight,0.0,992,970,872,1180,343,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,19.0,390,783,1070,554,291,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,38.0,523,973,226,834,868,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,57.0,768,725,702,567,549,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,76.0,390,972,1079,1175,469,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,95.0,552,1140,213,769,390,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,114.0,1050,734,618,493,943,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,133.0,666,500,349,1277,1158,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,152.0,873,1146,802,707,379,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,171.0,237,481,809,1216,770,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,190.0,498,576,544,1004,203,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,209.0,615,762,919,695,603,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,228.0,854,1085,543,1102,255,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,247.0,219,354,1064,561,716,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,266.0,210,649,996,1038,573,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,285.0,929,1262,669,875,888,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,304.0,1094,262,1043,729,507,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,323.0,674,622,1015,327,247,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,342.0,1075,734,839,603,267,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,361.0,1084,850,943,1016,553,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,380.0,1142,816,918,1055,780,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,399.0,341,1244,531,1222,845,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,418.0,1102,357,539,520,218,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,437.0,865,1126,1135,1262,201,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,456.0,1076,827,1283,958,544,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,475.0,1266,844,742,431,433,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,494.0,617,415,410,1161,732,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,513.0,714,1242,1280,744,471,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,532.0,710,1092,201,676,929,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,551.0,1094,588,690,417,556,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,570.0,1092,547,433,721,444,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,589.0,1201,736,388,1290,758,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,608.0,518,1110,477,606,455,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,627.0,655,1175,520,1227,920,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,646.0,960,262,1193,454,1198,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,eight,665.0,896,1035,1276,866,1239,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
