trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,hello,0.0,673,688,520,814,746,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,19.0,557,884,1050,205,1256,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,38.0,977,701,674,672,879,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,57.0,711,1010,1088,745,1290,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,76.0,880,1168,1083,564,829,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,95.0,1124,531,483,433,408,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,114.0,1282,573,719,574,931,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,133.0,384,618,970,545,844,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,152.0,903,1198,340,604,731,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,171.0,1111,386,560,737,262,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,190.0,1115,386,978,632,1030,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,209.0,1274,311,313,981,1004,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,228.0,867,716,518,654,903,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,247.0,1258,320,883,952,297,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,266.0,641,499,500,777,820,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,285.0,794,413,1114,807,227,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,304.0,1140,677,408,950,581,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,323.0,416,412,456,409,633,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,342.0,492,407,656,242,572,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,361.0,434,587,1066,479,671,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,380.0,603,796,954,221,1299,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,399.0,887,1083,823,689,772,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,418.0,386,1194,589,1053,703,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,437.0,276,416,792,524,1299,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,456.0,726,948,261,1064,735,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,475.0,610,564,462,210,678,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,494.0,1128,351,863,908,857,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,513.0,1287,804,997,1197,604,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,532.0,706,215,581,347,868,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,551.0,744,1154,433,235,354,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,570.0,1226,269,330,752,731,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,589.0,838,562,498,727,273,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,608.0,225,1269,1185,942,915,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,627.0,574,235,1250,877,707,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,646.0,658,243,429,254,937,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,665.0,302,879,253,979,1228,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,684.0,404,1035,204,829,302,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,703.0,602,1218,1097,535,259,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,722.0,658,1151,844,547,1066,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,741.0,618,646,927,398,707,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,760.0,785,712,481,751,834,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,779.0,261,874,715,1153,568,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,798.0,301,1021,307,792,742,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,817.0,639,373,471,1064,296,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,836.0,682,1270,1132,1000,824,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,855.0,966,1184,732,315,353,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,874.0,672,899,1047,1082,576,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,893.0,868,1022,923,472,206,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,912.0,1005,1150,722,944,497,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,931.0,1236,1173,1061,286,1181,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,950.0,285,355,696,565,734,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,969.0,462,763,418,339,1268,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,hello,988.0,1146,1266,451,966,666,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
