trial_id,label,time_ms,ax,ay,az,gx,gy,gz
1,1,0.0,0.9947,0.0648,-0.0346,0.7,2.138,0.54
1,1,12.0,0.9968,0.0658,-0.0298,0.715,2.207,0.304
1,1,25.0,0.9946,0.0651,-0.0267,0.471,2.001,0.143
1,1,38.0,0.997,0.0643,-0.0282,0.547,2.039,-0.147
1,1,51.0,0.9987,0.0728,-0.0298,0.715,2.451,-0.307
1,1,64.0,0.9975,0.0769,-0.0218,0.532,2.405,-0.422
1,1,77.0,0.9948,0.0778,-0.0155,0.539,2.138,-0.368
1,1,90.0,0.997,0.0752,-0.0201,0.669,1.444,-0.086
1,1,103.0,0.9958,0.0742,-0.0217,0.974,1.176,0.075
1,1,116.0,1.0014,0.0748,-0.0323,0.547,1.23,0.113
1,1,129.0,1.0015,0.071,-0.0335,0.211,1.314,0.082
1,1,142.0,1.0009,0.0596,-0.0341,-0.224,1.276,-0.33
1,1,155.0,1.0097,0.0598,-0.0417,0.73,1.84,-0.361
1,1,168.0,1.0084,0.0577,-0.0392,0.99,2.512,-0.765
1,1,181.0,1.0065,0.0591,-0.0418,1.417,2.787,-1.032
1,1,194.0,1.0057,0.0627,-0.0381,1.883,3.031,-0.964
1,1,207.0,1.0073,0.062,-0.0316,1.639,2.947,-1.216
1,1,220.0,1.0111,0.0608,-0.0361,2.394,3.153,-1.063
1,1,233.0,1.007,0.067,-0.0329,3.158,3.52,-1.093
1,1,246.0,1.0079,0.0779,-0.0326,2.181,3.718,-1.773
1,1,259.0,1.003,0.0843,-0.0411,1.471,4.55,-2.109
1,1,272.0,0.9976,0.0933,-0.0322,2.73,5.253,-1.62
1,1,285.0,0.9867,0.1028,-0.02,3.066,5.367,-0.658
1,1,298.0,0.9819,0.0999,-0.0177,1.6,4.886,-0.322
1,1,311.0,0.9804,0.0951,-0.0136,1.326,4.611,-0.002
1,1,324.0,0.9775,0.0946,-0.0155,1.196,4.146,0.128
1,1,337.0,0.9795,0.0919,-0.0108,0.432,3.779,0.25
1,1,350.0,0.9744,0.0868,-0.0106,0.272,3.237,0.456
1,1,363.0,0.974,0.0835,-0.0064,0.371,2.459,0.586
1,1,376.0,0.9769,0.0802,-0.009,0.058,1.695,0.708
1,1,389.0,0.9848,0.076,-0.0135,-0.774,0.848,0.487
1,1,402.0,0.9956,0.076,-0.0283,-0.972,0.36,0.166
1,1,415.0,1.0014,0.0797,-0.037,-0.903,0.634,0.059
1,1,428.0,0.9986,0.078,-0.0361,-0.659,1.352,0.082
1,1,441.0,0.997,0.0782,-0.0274,-0.11,1.474,0.494
1,1,454.0,1.0011,0.0845,-0.0323,0.196,1.779,0.838
1,1,467.0,0.9981,0.0809,-0.0267,-0.056,2.459,0.784
1,1,480.0,0.9936,0.0739,-0.0195,-0.445,2.062,1.067
1,1,493.0,0.9998,0.0699,-0.0218,-0.026,1.97,1.258
1,1,506.0,0.9973,0.0688,-0.0114,-0.079,1.871,0.907
1,1,519.0,0.9929,0.063,-0.0102,-0.545,1.474,0.533
1,1,532.0,0.9972,0.0603,-0.0122,-0.148,1.199,0.326
1,1,545.0,0.994,0.0635,-0.0118,0.654,1.161,0.143
1,1,558.0,0.995,0.068,-0.0107,0.41,0.757,-0.139
1,1,571.0,0.9959,0.0692,-0.0266,0.257,0.718,-0.361
1,1,584.0,0.9979,0.0713,-0.0302,0.639,1.138,-0.49
1,1,597.0,1.0036,0.0782,-0.0313,0.516,1.298,-0.612
1,1,610.0,1.0019,0.0774,-0.0333,0.616,1.703,-0.277
1,1,623.0,0.9953,0.0696,-0.0229,1.043,1.764,-0.002
1,1,636.0,0.9984,0.0724,-0.0269,1.478,1.375,0.296
1,1,649.0,0.9969,0.0697,-0.0304,1.57,1.489,0.227
1,1,662.0,0.9962,0.0684,-0.0266,1.44,1.482,-0.032
1,1,675.0,0.9923,0.0697,-0.0188,1.577,1.352,0.059
1,1,688.0,0.9934,0.0735,-0.0146,1.807,1.054,0.006
1,1,701.0,0.9946,0.0757,-0.0172,1.074,0.718,-0.399
1,1,714.0,0.9984,0.0741,-0.0295,0.494,0.871,-0.529
1,1,727.0,0.9974,0.0818,-0.0306,0.211,1.161,-0.689
1,1,740.0,1.0031,0.0834,-0.0312,0.379,1.337,-0.62
1,1,753.0,1.0003,0.087,-0.0234,0.906,1.528,-0.223
1,1,766.0,1.0002,0.083,-0.0233,0.959,1.268,0.349
1,1,779.0,1.0053,0.0743,-0.0245,0.639,0.978,0.487
1,1,792.0,1.0114,0.072,-0.0337,0.226,1.062,0.006
1,1,805.0,1.0109,0.0719,-0.0341,0.104,1.757,-0.284
1,1,818.0,1.0081,0.0702,-0.0361,0.494,2.528,-0.376
1,1,831.0,1.0061,0.0732,-0.033,0.715,2.924,-0.361
1,1,844.0,1.0052,0.0756,-0.0315,0.448,3.138,-0.651
1,1,857.0,1.0002,0.0782,-0.0285,0.028,3.405,-0.841
1,1,870.0,0.9979,0.0754,-0.0313,0.226,3.466,-0.612
1,1,883.0,0.9969,0.0762,-0.0317,0.639,3.444,-0.307
1,1,896.0,0.9914,0.0712,-0.0309,0.333,3.375,-0.17
1,1,909.0,0.9924,0.0679,-0.0361,0.57,3.344,-0.101
1,1,922.0,0.9878,0.0681,-0.0268,0.799,3.413,-0.216
1,1,935.0,0.9842,0.0726,-0.0227,0.913,3.352,-0.406
1,1,948.0,0.9805,0.0725,-0.0129,1.226,3.062,-0.307
1,1,961.0,0.9791,0.0764,-0.0097,1.387,2.703,-0.147
1,1,974.0,0.9812,0.0814,-0.0116,0.753,2.108,-0.414
1,1,987.0,0.9823,0.0787,-0.015,0.02,1.604,-0.574
1,1,1000.0,0.988,0.0837,-0.0183,0.692,1.329,-0.246
1,1,1013.0,0.986,0.085,-0.0167,0.562,0.978,-0.048
1,1,1026.0,0.9928,0.0846,-0.0289,-0.071,0.573,0.159
1,1,1039.0,0.999,0.089,-0.0404,-0.056,0.81,0.357
1,1,1052.0,1.0013,0.0824,-0.0368,-0.255,1.497,0.533
1,1,1065.0,1.0059,0.0856,-0.0277,-0.003,1.84,0.838
1,1,1078.0,1.0007,0.0778,-0.0204,0.074,1.963,0.922
1,1,1091.0,1.0009,0.0734,-0.0111,-0.568,1.573,0.723
1,1,1104.0,1.0056,0.0658,-0.0228,-0.468,1.153,0.617
1,1,1117.0,1.0106,0.0596,-0.032,0.074,1.611,0.578
1,1,1130.0,1.0144,0.0548,-0.0261,0.379,1.749,0.349
1,1,1143.0,1.0135,0.0558,-0.0301,0.585,2.069,-0.162
1,1,1156.0,1.0178,0.0551,-0.0311,0.921,2.413,-0.559
1,1,1169.0,1.0199,0.0504,-0.0304,1.272,3.016,-0.903
1,1,1182.0,1.0211,0.0474,-0.0267,1.425,3.298,-1.208
1,1,1195.0,1.0217,0.0364,-0.0238,2.425,3.657,-1.3
1,1,1208.0,1.0293,0.0223,-0.0168,3.471,3.909,-1.78
1,1,1221.0,1.033,0.0111,-0.007,3.654,3.986,-2.994
1,1,1234.0,1.0366,-0.0066,-0.0156,4.494,3.741,-4.093
1,1,1247.0,1.0513,-0.0105,-0.0195,5.898,3.917,-5.513
1,1,1260.0,1.0489,-0.0037,-0.0085,9.593,4.382,-5.849
1,1,1273.0,1.0417,0.0061,0.0182,10.265,5.245,-3.109
1,1,1286.0,1.0484,-0.0756,0.0212,9.265,3.382,-6.277
1,1,1299.0,1.0415,-0.092,0.0075,14.761,4.1,-9.597
1,1,1312.0,1.0373,-0.0671,-0.0122,17.173,4.703,-13.735
1,1,1325.0,1.036,-0.051,-0.0265,18.486,5.276,-16.399
1,1,1338.0,1.0356,-0.0436,-0.0317,19.005,6.924,-19.216
1,1,1351.0,1.0223,-0.0444,-0.0245,23.181,8.314,-22.674
1,1,1364.0,1.013,-0.0192,-0.0102,29.959,9.329,-22.025
1,1,1377.0,0.9807,-0.0455,0.0264,29.631,9.581,-24.124
1,1,1390.0,0.9808,-0.0411,0.0331,30.341,8.627,-26.605
1,1,1403.0,0.9619,-0.0579,0.0541,34.898,7.734,-28.246
1,1,1416.0,0.9354,-0.0444,0.0865,36.379,5.375,-29.071
1,1,1429.0,0.939,-0.0398,0.059,30.432,0.818,-32.506
1,1,1442.0,0.9364,-0.1144,0.0766,29.036,0.047,-35.78
1,1,1455.0,0.9268,-0.1196,0.0711,27.41,-3.419,-45.643
1,1,1468.0,0.94,-0.0802,0.0089,25.043,-2.465,-50.574
1,1,1481.0,0.9057,-0.0109,0.0251,31.616,-4.35,-57.658
1,1,1494.0,0.9368,0.0183,-0.0206,26.692,-8.327,-63.78
1,1,1507.0,0.9298,0.0736,-0.0385,28.287,-7.9,-68.399
1,1,1520.0,0.9299,0.1051,-0.0255,32.677,-7.969,-71.719
1,1,1533.0,0.9073,0.1409,-0.0127,36.043,-7.9,-73.269
1,1,1546.0,0.8857,0.1735,0.0063,41.829,-8.938,-73.132
1,1,1559.0,0.8652,0.1958,0.0085,48.41,-11.984,-68.742
