trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,motion2,0.0,1027,809,1160,798,854,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,19.0,1062,885,641,764,1245,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,38.0,987,388,1239,227,1109,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,57.0,868,900,1292,896,258,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,76.0,1269,936,713,841,419,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,95.0,1108,975,392,288,1057,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,114.0,1156,1153,379,1296,225,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,133.0,243,870,331,358,737,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,152.0,416,234,366,1038,616,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,171.0,1058,621,429,948,1254,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,190.0,1247,1279,826,904,708,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,209.0,230,811,415,1053,1063,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,228.0,889,233,958,711,690,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,247.0,386,983,1252,1132,778,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,266.0,1065,678,717,251,850,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,285.0,1075,672,1060,211,496,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,304.0,469,1091,546,1170,262,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,323.0,390,1207,938,319,467,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,342.0,308,655,421,711,758,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,361.0,718,511,928,646,1020,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,380.0,1297,870,344,996,912,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,399.0,792,747,822,293,786,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,418.0,383,628,202,799,936,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,437.0,1033,735,1090,893,334,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,456.0,1274,1003,508,1077,314,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,475.0,701,663,353,1017,700,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,494.0,826,628,447,1137,1152,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,513.0,416,528,1008,383,302,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,532.0,996,1132,236,1195,881,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,551.0,776,1062,1101,527,1165,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,570.0,1171,848,803,1042,586,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,589.0,452,657,272,547,896,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,608.0,473,889,565,880,1166,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,627.0,703,713,822,443,509,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,646.0,943,633,256,738,240,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,665.0,1003,915,718,830,669,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,684.0,487,564,811,1032,479,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,703.0,850,1181,1013,1053,724,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,722.0,295,476,549,982,562,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,741.0,262,999,761,1077,1273,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,760.0,947,1078,395,798,1062,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,779.0,1281,946,338,1244,1229,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,798.0,970,1268,542,714,320,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,817.0,922,1183,431,558,1193,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,motion2,836.0,488,440,954,774,761,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
