time,ax,ay,az,gx,gy,gz
0.0,0.9672,-0.0038,0.2314,-0.552,5.039,-0.727
12.0,0.966,-0.0032,0.2543,-0.048,5.367,-0.994
25.0,0.9626,0.0267,0.2421,0.73,3.894,-1.452
38.0,0.9555,0.0238,0.2631,-2.43,3.749,0.273
51.0,0.9658,0.0059,0.2648,-0.094,2.153,1.021
64.0,0.9644,0.0001,0.2328,1.135,1.337,1.097
77.0,0.9621,0.0027,0.232,0.768,1.764,0.693
90.0,0.9604,0.0098,0.2276,-0.087,1.848,0.678
103.0,0.9583,0.0118,0.2307,1.196,1.833,0.891
116.0,0.9614,0.0173,0.2205,1.486,1.611,1.502
129.0,0.9631,0.007,0.2207,0.593,1.986,1.975
142.0,0.9658,-0.0087,0.2296,1.211,1.955,2.067
155.0,0.9669,-0.0088,0.221,1.341,2.428,1.899
168.0,0.9663,-0.017,0.2438,1.837,2.963,1.571
181.0,0.9705,-0.0217,0.252,2.081,2.23,1.342
194.0,0.9693,-0.0259,0.2481,1.875,1.428,0.555
207.0,0.9692,-0.0251,0.2467,2.051,0.772,-0.246
220.0,0.9669,-0.0127,0.2487,1.723,-0.167,-0.689
233.0,0.9664,-0.0121,0.2304,2.02,-0.717,-1.353
246.0,0.9642,-0.002,0.2172,2.654,-0.434,-1.597
259.0,0.9613,0.0079,0.2065,2.425,0.039,-1.475
272.0,0.9586,0.0077,0.1924,1.86,0.871,-1.162
285.0,0.9638,0.0117,0.1889,-0.85,2.673,-0.834
298.0,0.9611,0.0006,0.2137,-4.331,4.062,-0.834
311.0,0.9628,-0.0017,0.2348,-4.705,3.947,-1.231
324.0,0.9621,0.0083,0.2493,-3.171,3.306,-1.559
337.0,0.9615,0.0135,0.2388,0.226,2.344,-0.841
350.0,0.9677,0.0112,0.2262,1.348,1.787,-0.277
363.0,0.967,0.0134,0.2226,-0.018,2.352,-0.208
376.0,0.9641,0.0118,0.2337,-1.293,2.382,0.105
389.0,0.9644,0.0045,0.2428,-1.568,2.062,0.212
402.0,0.9658,0.009,0.2364,-0.789,1.65,0.029
415.0,0.9654,0.0082,0.2372,-0.659,1.451,0.128
428.0,0.963,0.0094,0.2294,-1.445,1.634,0.578
441.0,0.9631,-0.0042,0.2422,-1.819,1.986,0.403
454.0,0.9643,-0.0074,0.2614,-0.499,1.215,0.181
467.0,0.9615,-0.0147,0.258,2.967,-0.457,-0.353
480.0,0.962,0.006,0.2259,5.28,-1.327,-0.826
493.0,0.9644,0.0129,0.2079,4.997,-1.06,-0.773
506.0,0.963,0.0229,0.1925,3.967,-0.587,-0.216
519.0,0.9615,0.0137,0.2027,2.158,0.695,0.41
532.0,0.9657,-0.0026,0.2106,2.074,1.054,0.7
545.0,0.9622,-0.0121,0.2111,2.425,1.642,0.38
558.0,0.9635,-0.0118,0.2206,2.829,2.161,-0.307
571.0,0.9649,-0.0033,0.2295,1.425,2.329,-1.101
584.0,0.9622,0.007,0.2317,0.89,1.634,-1.2
597.0,0.9653,0.0201,0.2255,-0.491,1.497,-0.78
610.0,0.9671,0.0129,0.2233,-3.003,2.039,-0.643
623.0,0.9681,-0.0009,0.2406,-4.27,2.848,-0.887
636.0,0.9661,0.0049,0.2344,-1.048,2.047,-0.803
649.0,0.965,0.0063,0.2115,1.379,2.024,-1.78
662.0,0.9555,0.031,0.2443,-3.735,3.184,-0.925
675.0,0.9642,0.021,0.2497,-1.377,1.68,-0.277
688.0,0.9607,0.0145,0.2318,0.745,1.268,0.517
701.0,0.9661,0.0092,0.2245,1.066,1.528,0.624
714.0,0.9641,0.0046,0.2278,1.272,1.024,0.487
727.0,0.9681,0.0017,0.2102,1.127,0.986,0.349
740.0,0.9682,0.0054,0.2096,1.486,1.688,0.273
753.0,0.9632,0.0049,0.2151,1.326,1.909,0.235
766.0,0.9641,0.0013,0.2201,1.066,1.963,0.41
779.0,0.9644,0.0046,0.2265,0.348,1.932,0.197
792.0,0.9681,0.0093,0.2194,-0.72,1.695,0.136
805.0,0.9654,0.0109,0.2285,-0.621,2.298,0.204
818.0,0.9597,0.0131,0.2399,0.669,2.176,0.426
831.0,0.9598,0.0172,0.2454,1.6,1.459,0.754
844.0,0.9604,0.0101,0.2398,2.623,0.184,1.212
857.0,0.9615,0.0092,0.2163,1.982,-0.915,1.67
870.0,0.9591,-0.0016,0.2166,0.967,-1.076,1.685
883.0,0.9626,-0.0067,0.2105,0.31,-1.373,1.479
896.0,0.9599,-0.0083,0.201,0.097,-1.114,1.021
909.0,0.958,0.0161,0.2001,-3.316,-1.297,0.861
922.0,0.96,0.041,0.1939,-11.064,-1.587,1.914
935.0,0.9675,0.0149,0.1969,-10.369,-0.511,2.617
948.0,0.9722,0.0057,0.2077,-9.575,0.947,3.273
961.0,0.9785,0.0007,0.2338,-6.232,2.031,3.281
974.0,0.9743,-0.0022,0.2473,-3.621,2.52,3.059
987.0,0.973,-0.0076,0.2697,-1.797,2.016,2.754
1000.0,0.9705,0.0002,0.2615,0.066,-0.389,3.418
1013.0,0.9747,-0.0315,0.2448,-0.957,-1.694,4.006
1026.0,0.9868,-0.0547,0.248,-1.056,-2.48,3.143
1039.0,0.9831,-0.0543,0.2318,-0.193,-3.717,1.639
1052.0,0.976,-0.0426,0.2043,-0.377,-2.946,0.273
1065.0,0.9682,-0.025,0.218,0.539,-1.526,-0.529
1078.0,0.9682,-0.0222,0.2078,1.333,-1.572,-0.536
1091.0,0.9655,-0.022,0.2097,1.921,-0.648,-1.124
1104.0,0.9668,-0.0092,0.2055,1.852,-0.358,-1.483
1117.0,0.9548,-0.0023,0.2159,2.425,0.001,-1.162
1130.0,0.9552,0.0021,0.2028,3.425,-0.45,-0.009
1143.0,0.9659,-0.0265,0.2163,1.776,-0.037,0.38
1156.0,0.9711,-0.0471,0.222,2.097,-0.702,-0.383
1169.0,0.9666,-0.0387,0.2183,2.272,-1.312,-1.635
1182.0,0.969,-0.0149,0.2067,1.173,-1.442,-2.681
1195.0,0.9541,0.0145,0.2007,-1.461,-1.549,-2.651
1208.0,0.9524,0.035,0.1969,-3.781,-1.236,-1.544
1221.0,0.9711,0.0277,0.2097,-3.132,-1.35,-0.185
1234.0,0.9703,0.0088,0.1801,-0.575,-1.373,0.792
1247.0,0.9738,-0.0264,0.1696,1.043,0.825,0.929
1260.0,0.9765,-0.0344,0.1835,1.364,2.131,-0.17
1273.0,0.9807,-0.0367,0.1961,-0.018,2.215,-1.719
1286.0,0.9725,-0.0147,0.1979,-1.079,2.215,-3.04
1299.0,0.9751,0.0013,0.208,-0.766,1.84,-3.666
1312.0,0.9753,0.0199,0.1924,0.639,1.375,-4.002
1325.0,0.9688,0.0437,0.1798,-0.148,2.466,-3.414
1338.0,0.9583,0.0481,0.2108,-1.621,3.711,-2.322
1351.0,0.9605,0.0442,0.2202,-2.087,2.833,-0.903
1364.0,0.9661,0.016,0.221,-2.232,2.291,0.151
1377.0,0.9705,-0.0018,0.2224,-0.774,2.329,-0.055
1390.0,0.9692,-0.0085,0.2268,1.539,2.176,-0.643
1403.0,0.9685,-0.0044,0.2182,2.959,2.001,-1.506
1416.0,0.9624,0.0177,0.2135,1.577,2.81,-1.948
1429.0,0.9625,0.0206,0.2488,0.952,2.123,-1.689
1442.0,0.9613,0.0278,0.2453,1.875,-0.076,-1.33
1455.0,0.9646,0.0276,0.2188,3.57,-1.045,-0.46
1468.0,0.9611,0.0286,0.1989,5.081,-0.976,0.494
1481.0,0.9655,0.0151,0.1796,3.318,-0.915,1.792
1494.0,0.9683,-0.0094,0.1761,0.761,0.589,2.273
1507.0,0.9707,-0.0299,0.1834,-1.43,1.947,2.296
1520.0,0.9725,-0.0377,0.2014,-0.682,2.482,1.479
1533.0,0.968,-0.0337,0.205,-0.537,3.276,0.746
1546.0,0.9624,-0.0276,0.2167,0.005,3.68,-0.399
1559.0,0.9609,0.0018,0.2213,0.31,2.963,-1.063
1572.0,0.9561,0.0288,0.2157,-0.438,2.497,-0.788
1585.0,0.9611,0.0297,0.2243,-0.438,1.795,0.273
1598.0,0.9642,0.0386,0.2036,0.036,0.848,1.594
1611.0,0.9628,0.0267,0.1961,-0.926,1.634,3.036
1624.0,0.9707,0.0043,0.208,-0.484,1.909,3.968
1637.0,0.9716,-0.0177,0.2068,-0.354,2.092,4.021
1650.0,0.9721,-0.0299,0.2159,1.188,2.413,3.097
1663.0,0.9693,-0.0239,0.2185,1.616,2.008,2.197
1676.0,0.9652,-0.0143,0.2095,1.287,1.772,1.716
1689.0,0.9664,-0.002,0.2012,1.478,1.657,1.716
1702.0,0.9665,-0.0088,0.1931,1.043,1.734,1.937
1715.0,0.9675,-0.011,0.2005,0.356,2.413,2.372
1728.0,0.9718,-0.028,0.2277,1.41,2.008,2.502
1741.0,0.976,-0.049,0.2207,2.181,0.077,2.258
1754.0,0.978,-0.0608,0.2068,2.371,-0.266,1.12
1767.0,0.9784,-0.0627,0.1999,3.753,-0.167,-0.452
1780.0,0.9804,-0.0426,0.1801,4.112,-0.129,-1.544
1793.0,0.9764,-0.031,0.1764,2.784,1.062,-2.292
1806.0,0.9718,-0.0117,0.1859,0.852,1.726,-2.857
