trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,testssssssss,0.0,737,682,729,1170,1142,-0.0105,0.0134,1.001,-0.461,0.215,0.006
1,testssssssss,22.0,514,972,1056,285,653,-0.021,0.031,0.9746,0.066,0.711,0.159
1,testssssssss,35.0,961,557,475,458,921,-0.0164,0.0005,0.9951,-1.682,0.253,0.097
1,testssssssss,48.0,396,243,742,789,412,-0.0254,0.022,1.0157,0.799,0.543,0.036
1,testssssssss,61.0,1155,206,1238,668,1215,-0.0227,0.0127,0.9807,-1.262,0.718,0.197
1,testssssssss,74.0,872,1222,373,253,1211,-0.0249,0.0098,1.0086,-0.148,0.818,0.128
1,testssssssss,87.0,840,783,742,796,707,-0.021,0.0146,1.0161,-0.453,0.489,0.105
1,testssssssss,100.0,988,970,701,574,903,-0.0198,0.0137,1.0027,-0.59,0.81,-0.04
1,testssssssss,113.0,258,1229,829,615,1183,-0.0208,0.0073,1.0003,-1.026,0.611,0.029
1,testssssssss,126.0,621,1010,556,1185,1026,-0.0162,0.0088,1.0025,-0.652,0.695,-0.025
1,testssssssss,139.0,1251,213,1265,680,1088,-0.0186,0.0122,0.9934,-0.186,0.535,-0.002
1,testssssssss,152.0,944,1226,1238,1250,432,-0.0164,0.0154,0.9986,-0.384,0.825,0.067
1,testssssssss,165.0,292,947,638,1227,280,-0.0184,0.0061,1.0005,-0.674,0.573,0.12
1,testssssssss,178.0,546,555,696,760,663,-0.0181,0.0193,1.002,-0.445,0.421,-0.093
1,testssssssss,191.0,377,357,317,697,585,-0.0232,0.0098,0.991,-0.896,0.718,-0.009
1,testssssssss,204.0,1107,585,798,935,844,-0.0193,0.0198,1.0047,0.173,0.657,0.097
1,testssssssss,217.0,688,883,557,391,550,-0.0262,0.0156,1.003,-0.896,0.543,0.136
1,testssssssss,230.0,314,429,383,1140,382,-0.021,0.0149,0.9956,-0.522,0.573,0.006
1,testssssssss,243.0,863,667,1045,758,675,-0.0196,0.0144,1.013,-0.346,0.505,0.021
1,testssssssss,256.0,344,859,538,234,731,-0.0215,0.0142,1.0022,-0.858,0.665,0.151
1,testssssssss,269.0,897,1159,823,978,1272,-0.021,0.0071,1.0052,-0.659,0.459,0.029
1,testssssssss,282.0,603,256,933,539,984,-0.0203,0.0176,0.9995,-0.033,0.657,-0.025
1,testssssssss,295.0,981,928,1175,222,1047,-0.0188,0.0164,0.9934,-1.003,0.741,0.075
1,testssssssss,308.0,1162,704,913,1135,209,-0.0286,0.0181,0.9973,-0.262,0.528,0.105
1,testssssssss,321.0,1103,829,259,1255,764,-0.0188,0.019,0.9961,0.104,0.657,0.067
1,testssssssss,334.0,531,763,1073,969,656,-0.0223,0.0137,1.0032,-0.674,0.734,0.082
1,testssssssss,347.0,416,773,1009,217,494,-0.0247,0.0129,1.003,-0.949,0.444,0.006
1,testssssssss,360.0,996,446,520,522,880,-0.0171,0.0095,0.9908,-0.873,0.268,-0.032
1,testssssssss,373.0,399,302,586,1202,1190,-0.0176,0.0085,1.0059,-0.01,0.627,-0.063
1,testssssssss,386.0,875,981,760,701,1000,-0.0237,0.0146,0.9969,-0.339,0.902,0.082
1,testssssssss,399.0,268,1149,344,1078,910,-0.0235,0.0144,0.9991,-0.682,0.451,0.159
1,testssssssss,412.0,1192,1087,611,1053,880,-0.0249,0.0161,0.993,-0.247,0.382,0.12
1,testssssssss,425.0,306,857,531,994,441,-0.0196,0.0129,1.002,-0.621,0.642,0.052
1,testssssssss,438.0,884,1141,1206,648,229,-0.0208,0.0154,0.9964,-0.636,0.589,-0.055
1,testssssssss,451.0,475,216,383,539,933,-0.0122,0.0088,1.0056,-0.713,0.352,0.067
1,testssssssss,464.0,262,1101,794,314,747,-0.0179,0.0122,1.0015,-0.277,0.68,-0.002
1,testssssssss,477.0,860,455,510,958,525,-0.0205,0.0178,0.9922,-0.323,0.749,0.12
1,testssssssss,490.0,521,795,1142,778,612,-0.0225,0.0161,1.001,-0.774,0.634,0.151
1,testssssssss,503.0,574,295,545,665,243,-0.022,0.0137,1.001,-0.377,0.436,0.067
1,testssssssss,516.0,1027,552,992,680,1027,-0.0208,0.0134,0.9942,-0.484,0.573,0.082
1,testssssssss,529.0,759,746,1236,255,835,-0.0227,0.0112,0.9927,-0.743,0.642,-0.009
1,testssssssss,542.0,814,520,487,817,447,-0.0196,0.0083,1.001,-0.331,0.405,0.136
1,testssssssss,555.0,1176,683,765,989,836,-0.0218,0.012,0.9954,-0.69,0.604,0.197
1,testssssssss,568.0,1171,591,1163,216,416,-0.0215,0.0186,1.001,-0.361,0.741,0.052
1,testssssssss,581.0,724,319,848,211,1071,-0.0181,0.019,1.0005,-0.476,0.589,0.09
1,testssssssss,594.0,731,1110,881,736,454,-0.0223,0.0144,0.9983,-0.781,0.604,0.105
1,testssssssss,607.0,247,1219,336,1142,892,-0.0176,0.0112,1.0003,-0.583,0.665,0.075
1,testssssssss,620.0,1236,542,936,790,933,-0.022,0.0137,1.0027,-0.652,0.489,-0.002
1,testssssssss,633.0,685,1085,853,283,856,-0.0193,0.0168,1.0071,-0.224,0.764,0.097
1,testssssssss,646.0,642,273,857,288,364,-0.0227,0.0142,0.9991,-0.575,0.718,0.067
